时间,上海新增确诊病例,上海无症状感染者,深圳新增确诊病例,深圳无症状感染者,广东新增确诊病例,广东无症状感染者,新增确诊人数,新增死亡人数,新增疑似人数,新增治愈人数,现有确诊人数,累计治愈人数,累计死亡人,累计确诊人数,现有疑似人数,累计密切接触者,年份
3.2,0,0,0,0,0,0,125,31,129,2742,30004,47204,2943,80151,587,664899,2020
3.3,0,0,0,0,0,0,119,38,143,2652,27433,49856,2981,80270,520,666397,2020
3.4,0,0,0,0,0,0,139,31,143,2189,25352,52045,3012,80409,522,669025,2020
3.5,0,0,0,0,0,0,143,30,102,1681,23784,53726,3042,80552,482,670854,2020
3.6,0,0,0,0,0,0,99,28,99,1678,22177,55404,3070,80651,502,672458,2020
3.7,0,0,0,0,0,0,44,27,84,1661,20533,57065,3097,80695,458,674038,2020
3.8,0,0,0,0,0,0,40,22,60,1535,19016,58600,3119,80735,421,674760,2020
3.9,0,0,0,0,0,0,19,17,36,1297,17721,59897,3136,80754,349,675338,2020
3.10,0,0,0,0,0,0,24,22,31,1578,16145,61475,3158,80778,285,675886,2020
3.11,0,0,0,0,0,0,15,11,33,1318,14831,62793,3169,80793,253,677243,2020
3.12,0,0,0,0,0,0,8,7,33,1318,13526,64111,3176,80813,147,678088,2020
3.13,0,0,0,0,0,0,11,13,17,1430,12094,65541,3189,80824,115,678935,2020
3.14,0,0,0,0,0,0,20,10,39,1370,10734,66911,3199,80844,113,679759,2020
3.15,0,0,0,0,0,0,16,14,41,838,9898,67749,3213,80860,134,680462,2020
3.16,0,0,0,0,0,0,21,13,45,930,8976,68679,3226,80881,128,681404,2020
3.17,0,0,0,0,0,0,13,11,21,922,8056,69601,3237,80894,119,682327,2020
3.18,0,0,0,0,0,0,34,8,23,819,7263,70420,3245,80928,105,683281,2020
3.19,0,0,0,0,0,0,39,3,31,730,6569,71150,3248,80967,104,684331,2020
3.20,0,0,0,0,0,0,41,7,36,590,6013,71740,3255,81008,106,685866,2020
3.21,0,0,0,0,0,0,46,6,45,504,5549,72244,3261,81054,118,687680,2020
3.22,0,0,0,0,0,0,39,9,47,459,5120,72703,3270,81093,136,688993,2020
3.23,0,0,0,0,0,0,78,7,35,456,4735,73159,3277,81171,132,691185,2020
3.24,0,0,0,0,0,0,47,4,33,491,4287,73650,3281,81218,134,693223,2020
3.25,0,0,0,0,0,0,67,6,58,401,3947,74051,3287,81285,159,695305,2020
3.26,0,0,0,0,0,0,55,5,49,537,3460,74588,3292,81340,189,697470,2020
3.27,0,0,0,0,0,0,54,3,29,383,3128,74971,3295,81394,184,699396,2020
3.28,0,0,0,0,0,0,45,5,28,477,2691,75448,3300,81439,174,701884,2020
3.29,0,0,0,0,0,0,31,4,17,322,2396,75770,3304,81470,168,704190,2020
3.30,0,0,0,0,0,0,48,1,44,282,2161,76052,3305,81518,183,706017,2020
3.31,1,0,0,0,1,0,36,7,26,186,2004,76238,3312,81554,172,707913,2020
4.1,0,0,0,0,0,0,35,6,20,170,1863,76408,3318,81589,153,709570,2020
4.2,0,0,0,0,1,0,31,4,12,163,1727,76571,3322,81620,135,710985,2020
4.3,0,0,0,0,0,0,19,4,11,180,1562,76751,3326,81639,114,712088,2020
4.4,0,0,0,0,5,0,30,3,11,213,1376,76964,3329,81669,107,713110,2020
4.5,0,0,0,0,1,0,39,1,10,114,1299,77078,3331,81708,88,713988,2020
4.6,0,0,0,0,0,0,32,0,12,89,1242,77167,3331,81740,0,714720,2020
4.7,1,0,0,0,1,0,62,2,12,112,1190,77279,3333,81802,0,715854,2020
4.8,0,0,0,0,2,0,63,2,17,91,1160,77370,3335,81865,0,716889,2020
4.9,1,0,0,0,3,0,42,1,3,85,1116,77455,3336,81907,0,717378,2020
4.10,2,0,0,0,3,0,46,3,8,70,1089,77525,3339,81953,0,718050,2020
4.11,43,0,0,0,0,0,99,0,49,50,1138,77575,3339,82052,0,718881,2020
4.12,2,0,0,0,3,0,108,2,6,88,1156,77663,3341,82160,0,719908,2020
4.13,2,0,0,0,3,0,89,0,3,75,1170,77738,3341,82249,0,720544,2020
4.14,4,0,0,0,2,0,46,1,11,78,1137,77816,3342,82295,0,721295,2020
4.15,3,0,0,0,5,0,46,0,4,76,1107,77892,3342,82341,0,722007,2020
4.16,0,0,0,0,5,0,26,0,3,52,1081,77944,3342,82367,0,722909,2020
4.17,3,0,0,0,2,0,27,0,5,50,1058,77029,4632,82719,0,723835,2020
4.18,0,0,0,0,1,0,16,0,2,33,1041,77062,4632,82735,0,724850,2020
4.19,2,0,0,0,0,0,12,0,2,22,1031,77084,4632,82747,0,725814,2020
4.20,0,0,0,0,1,0,11,0,3,39,1003,77123,4632,82758,0,726797,2020
4.21,0,0,0,0,0,0,30,0,3,28,1005,77151,4632,82788,0,727589,2020
4.22,0,0,0,0,1,0,10,0,0,56,959,77207,4632,82798,0,728049,2020
4.23,2,0,0,0,1,0,6,0,2,50,915,77257,4632,82804,0,728590,2020
4.24,0,0,0,0,0,0,12,0,3,89,838,77346,4632,82816,0,729287,2020
